"","dt","LandAverageTemperature","LandAverageTemperatureUncertainty","LandMaxTemperature","LandMaxTemperatureUncertainty","LandMinTemperature","LandMinTemperatureUncertainty","LandAndOceanAverageTemperature","LandAndOceanAverageTemperatureUncertainty","world_emission","world_emission_month_rep"
"296",296,13.984,0.085,19.83,0.235,8.33,0.151,16.972,0.054,NA,19145865.375
"297",297,12.015,0.074,17.718,0.098,6.5,0.096,16.385,0.053,NA,19145865.375
"298",298,9.378,0.082,14.891,0.066,4.015,0.101,15.368,0.054,NA,19145865.375
"299",299,5.811,0.106,11.243,0.166,0.602,0.088,14.32,0.055,NA,19145865.375
"300",300,3.185,0.066,8.411,0.15,-1.88,0.109,13.604,0.05,NA,19145865.375
"301",301,3.01,0.082,8.385,0.122,-2.22,0.063,13.678,0.052,19719241.162,19719241.162
"302",302,2.704,0.085,8.322,0.117,-2.853,0.08,13.731,0.051,NA,19719241.162
"303",303,5.451,0.06,11.194,0.087,-0.133,0.086,14.526,0.05,NA,19719241.162
"304",304,8.633,0.085,14.421,0.085,2.905,0.113,15.356,0.054,NA,19719241.162
"305",305,11.426,0.066,17.203,0.117,5.756,0.119,16.136,0.05,NA,19719241.162
"306",306,13.569,0.187,19.396,0.24,7.908,0.146,16.713,0.07,NA,19719241.162
"307",307,13.973,0.087,19.711,0.113,8.362,0.141,16.906,0.051,NA,19719241.162
"308",308,14.059,0.087,19.757,0.113,8.515,0.092,17.013,0.05,NA,19719241.162
"309",309,11.98,0.08,17.634,0.138,6.482,0.135,16.357,0.054,NA,19719241.162
"310",310,9.338,0.089,14.808,0.048,4.051,0.099,15.476,0.054,NA,19719241.162
"311",311,5.968,0.104,11.331,0.102,0.703,0.107,14.388,0.055,NA,19719241.162
"312",312,3.785,0.107,9.044,0.154,-1.368,0.084,13.808,0.056,NA,19719241.162
"313",313,3.315,0.117,8.818,0.071,-2.011,0.076,13.724,0.057,20315356.016,20315356.016
"314",314,3.991,0.113,9.699,0.202,-1.637,0.092,14.084,0.056,NA,20315356.016
"315",315,5.755,0.048,11.629,0.077,0.015,0.055,14.608,0.049,NA,20315356.016
"316",316,8.871,0.086,14.772,0.206,3.105,0.062,15.452,0.054,NA,20315356.016
"317",317,11.581,0.066,17.393,0.108,5.889,0.178,16.163,0.049,NA,20315356.016
"318",318,13.439,0.06,19.211,0.191,7.72,0.192,16.696,0.05,NA,20315356.016
"319",319,14.293,0.06,19.987,0.1,8.739,0.115,16.991,0.05,NA,20315356.016
"320",320,13.972,0.059,19.874,0.099,8.433,0.141,16.938,0.05,NA,20315356.016
"321",321,11.817,0.143,17.713,0.106,6.395,0.274,16.285,0.063,NA,20315356.016
"322",322,9.299,0.096,14.803,0.148,3.881,0.157,15.455,0.054,NA,20315356.016
"323",323,5.919,0.1,11.232,0.063,0.702,0.092,14.407,0.055,NA,20315356.016
"324",324,3.751,0.072,9.071,0.075,-1.399,0.105,13.805,0.052,NA,20315356.016
"325",325,3.139,0.115,8.701,0.082,-2.344,0.109,13.758,0.058,20817151.963,20817151.963
"326",326,4.134,0.091,9.792,0.105,-1.366,0.092,14.161,0.053,NA,20817151.963
"327",327,5.245,0.076,11.203,0.074,-0.467,0.084,14.538,0.051,NA,20817151.963
"328",328,8.595,0.078,14.69,0.083,2.835,0.22,15.447,0.052,NA,20817151.963
"329",329,11.525,0.065,17.315,0.13,5.798,0.136,16.252,0.051,NA,20817151.963
"330",330,13.927,0.068,19.661,0.146,8.105,0.126,16.9,0.051,NA,20817151.963
"331",331,14.89,0.144,20.667,0.105,9.326,0.196,17.296,0.063,NA,20817151.963
"332",332,13.896,0.127,19.632,0.147,8.32,0.227,17.061,0.06,NA,20817151.963
"333",333,12.447,0.075,18.226,0.13,6.878,0.218,16.569,0.053,NA,20817151.963
"334",334,9.59,0.077,15.136,0.081,4.094,0.089,15.621,0.051,NA,20817151.963
"335",335,6.056,0.052,11.518,0.161,0.71,0.131,14.561,0.049,NA,20817151.963
"336",336,4.489,0.054,9.857,0.085,-0.712,0.107,14.13,0.048,NA,20817151.963
"337",337,3.454,0.07,8.864,0.12,-1.798,0.09,13.978,0.052,21565403.313,21565403.313
"338",338,3.422,0.095,9.094,0.093,-2.031,0.075,14.064,0.052,NA,21565403.313
"339",339,5.931,0.085,11.817,0.093,0.366,0.137,14.778,0.054,NA,21565403.313
"340",340,8.992,0.066,14.978,0.118,3.289,0.087,15.593,0.051,NA,21565403.313
"341",341,11.852,0.091,17.676,0.062,6.143,0.2,16.348,0.054,NA,21565403.313
"342",342,14.099,0.098,19.974,0.16,8.356,0.085,16.976,0.057,NA,21565403.313
"343",343,14.798,0.068,20.466,0.168,9.186,0.125,17.179,0.051,NA,21565403.313
"344",344,14.553,0.122,20.124,0.255,8.905,0.157,17.173,0.059,NA,21565403.313
"345",345,12.681,0.072,18.424,0.141,7.08,0.079,16.553,0.053,NA,21565403.313
"346",346,9.979,0.062,15.719,0.194,4.363,0.151,15.639,0.052,NA,21565403.313
"347",347,6.295,0.074,11.837,0.081,0.841,0.074,14.465,0.052,NA,21565403.313
"348",348,4.363,0.058,9.707,0.119,-0.852,0.078,13.923,0.052,NA,21565403.313
"349",349,2.71,0.108,8.095,0.118,-2.598,0.118,13.566,0.058,22029385.156,22029385.156
"350",350,3.627,0.095,9.3,0.067,-1.924,0.088,13.978,0.055,NA,22029385.156
"351",351,5.792,0.099,11.628,0.07,0.131,0.17,14.607,0.057,NA,22029385.156
"352",352,8.689,0.104,14.541,0.089,2.737,0.147,15.422,0.057,NA,22029385.156
"353",353,11.28,0.094,17.105,0.208,5.494,0.13,16.121,0.056,NA,22029385.156
"354",354,13.447,0.126,19.25,0.183,7.871,0.13,16.725,0.063,NA,22029385.156
"355",355,14.612,0.084,20.361,0.079,8.989,0.102,17.15,0.058,NA,22029385.156
"356",356,14.135,0.064,19.987,0.152,8.595,0.145,17.051,0.052,NA,22029385.156
"357",357,12.403,0.101,18.198,0.105,6.675,0.15,16.5,0.059,NA,22029385.156
"358",358,9.76,0.061,15.473,0.13,4.1,0.212,15.597,0.051,NA,22029385.156
"359",359,6.179,0.06,11.718,0.086,0.749,0.062,14.524,0.052,NA,22029385.156
"360",360,4.43,0.06,9.802,0.055,-0.807,0.096,14.058,0.053,NA,22029385.156
"361",361,3.243,0.09,8.557,0.099,-1.939,0.075,13.891,0.057,22149402.399,22149402.399
"362",362,3.643,0.087,9.225,0.111,-1.795,0.07,14.143,0.056,NA,22149402.399
"363",363,6.73,0.099,12.658,0.179,1.036,0.094,15.005,0.058,NA,22149402.399
"364",364,9.169,0.059,15.058,0.084,3.373,0.125,15.683,0.052,NA,22149402.399
"365",365,11.831,0.071,17.642,0.234,6.086,0.237,16.397,0.054,NA,22149402.399
"366",366,13.893,0.087,19.786,0.164,8.167,0.129,16.995,0.054,NA,22149402.399
"367",367,14.784,0.14,20.401,0.105,9.158,0.085,17.246,0.065,NA,22149402.399
"368",368,14.095,0.05,19.956,0.221,8.514,0.162,17.11,0.054,NA,22149402.399
"369",369,12.195,0.106,17.993,0.089,6.597,0.209,16.465,0.063,NA,22149402.399
"370",370,9.882,0.036,15.72,0.125,4.285,0.125,15.747,0.053,NA,22149402.399
"371",371,6.92,0.132,12.561,0.09,1.345,0.072,14.77,0.065,NA,22149402.399
"372",372,4.425,0.079,9.935,0.057,-0.922,0.054,14.1,0.056,NA,22149402.399
"373",373,3.195,0.066,8.506,0.044,-1.907,0.114,13.859,0.056,22403928.869,22403928.869
"374",374,4.044,0.087,9.774,0.074,-1.499,0.098,14.201,0.057,NA,22403928.869
"375",375,5.574,0.076,11.411,0.106,-0.129,0.13,14.689,0.056,NA,22403928.869
"376",376,9.226,0.04,15.123,0.09,3.414,0.159,15.716,0.055,NA,22403928.869
"377",377,11.616,0.062,17.441,0.105,6.009,0.114,16.37,0.054,NA,22403928.869
"378",378,14.263,0.074,19.903,0.124,8.509,0.072,17.052,0.057,NA,22403928.869
"379",379,14.987,0.055,20.643,0.106,9.273,0.142,17.348,0.053,NA,22403928.869
"380",380,14.319,0.057,20.036,0.086,8.61,0.111,17.163,0.055,NA,22403928.869
"381",381,12.677,0.053,18.539,0.235,7.004,0.084,16.572,0.056,NA,22403928.869
"382",382,9.753,0.064,15.553,0.066,4.122,0.095,15.619,0.055,NA,22403928.869
"383",383,6.44,0.07,11.862,0.101,1.121,0.088,14.607,0.055,NA,22403928.869
"384",384,4.059,0.041,9.284,0.078,-1.061,0.061,13.98,0.052,NA,22403928.869
"385",385,3.579,0.084,8.914,0.1,-1.655,0.093,13.961,0.058,22183417.491,22183417.491
"386",386,3.931,0.148,9.491,0.116,-1.595,0.087,14.181,0.067,NA,22183417.491
"387",387,5.952,0.069,11.692,0.064,0.253,0.086,14.771,0.056,NA,22183417.491
"388",388,8.572,0.061,14.366,0.075,2.785,0.1,15.51,0.055,NA,22183417.491
"389",389,11.535,0.073,17.346,0.095,5.796,0.184,16.319,0.059,NA,22183417.491
"390",390,13.576,0.066,19.36,0.094,7.818,0.075,16.886,0.058,NA,22183417.491
"391",391,14.139,0.081,19.853,0.083,8.421,0.082,17.001,0.057,NA,22183417.491
"392",392,13.766,0.084,19.435,0.162,8.131,0.13,16.9,0.057,NA,22183417.491
"393",393,11.672,0.049,17.289,0.122,6.132,0.14,16.243,0.053,NA,22183417.491
"394",394,9.353,0.047,15.152,0.058,3.676,0.061,15.419,0.054,NA,22183417.491
"395",395,5.889,0.083,11.303,0.062,0.463,0.066,14.343,0.056,NA,22183417.491
"396",396,4.075,0.155,9.455,0.157,-1.063,0.126,13.902,0.068,NA,22183417.491
"397",397,3.301,0.096,8.666,0.065,-1.919,0.076,13.896,0.062,22162174.56,22162174.56
"398",398,3.745,0.097,9.42,0.081,-1.744,0.054,14.085,0.06,NA,22162174.56
"399",399,5.923,0.094,11.791,0.085,0.141,0.074,14.725,0.061,NA,22162174.56
"400",400,8.69,0.046,14.585,0.116,2.823,0.137,15.482,0.055,NA,22162174.56
"401",401,11.475,0.056,17.289,0.084,5.674,0.124,16.231,0.056,NA,22162174.56
"402",402,13.518,0.075,19.292,0.094,7.767,0.146,16.859,0.058,NA,22162174.56
"403",403,14.595,0.11,20.228,0.062,8.947,0.174,17.155,0.062,NA,22162174.56
"404",404,13.835,0.065,19.584,0.066,8.228,0.108,16.926,0.058,NA,22162174.56
"405",405,11.93,0.102,17.639,0.06,6.287,0.121,16.381,0.062,NA,22162174.56
"406",406,9.614,0.064,15.294,0.061,3.987,0.047,15.543,0.058,NA,22162174.56
"407",407,5.738,0.09,11.091,0.098,0.363,0.07,14.41,0.059,NA,22162174.56
"408",408,4.035,0.081,9.358,0.07,-1.139,0.145,13.904,0.059,NA,22162174.56
"409",409,3.024,0.063,8.336,0.107,-2.274,0.099,13.731,0.057,22551690.634,22551690.634
"410",410,2.81,0.105,8.594,0.093,-2.768,0.094,13.773,0.062,NA,22551690.634
"411",411,5.731,0.071,11.663,0.083,-0.131,0.119,14.713,0.058,NA,22551690.634
"412",412,9.018,0.044,14.961,0.16,3.162,0.191,15.584,0.057,NA,22551690.634
"413",413,11.684,0.08,17.582,0.106,5.682,0.092,16.348,0.06,NA,22551690.634
"414",414,14.144,0.087,19.932,0.099,8.288,0.109,17.021,0.061,NA,22551690.634
"415",415,14.658,0.076,20.421,0.111,8.947,0.145,17.183,0.059,NA,22551690.634
"416",416,13.977,0.051,19.808,0.087,8.274,0.173,17.036,0.055,NA,22551690.634
"417",417,12.516,0.068,18.335,0.123,6.821,0.159,16.498,0.058,NA,22551690.634
"418",418,10.002,0.077,15.606,0.093,4.543,0.166,15.743,0.06,NA,22551690.634
"419",419,6.788,0.064,12.2,0.091,1.311,0.11,14.754,0.056,NA,22551690.634
"420",420,4.113,0.065,9.313,0.158,-1.102,0.064,14.036,0.06,NA,22551690.634
"421",421,3.54,0.057,8.895,0.151,-1.769,0.173,13.945,0.06,23037524.13,23037524.13
"422",422,4.656,0.083,10.257,0.145,-0.879,0.127,14.388,0.062,NA,23037524.13
"423",423,5.956,0.077,11.784,0.165,0.265,0.108,14.783,0.061,NA,23037524.13
"424",424,8.972,0.078,14.839,0.122,3.162,0.17,15.587,0.061,NA,23037524.13
"425",425,11.57,0.063,17.301,0.121,5.758,0.222,16.279,0.057,NA,23037524.13
"426",426,14.164,0.088,20.115,0.186,8.232,0.053,17.008,0.061,NA,23037524.13
"427",427,15.116,0.079,20.803,0.185,9.331,0.168,17.375,0.061,NA,23037524.13
"428",428,14.636,0.088,20.409,0.083,8.808,0.231,17.297,0.061,NA,23037524.13
"429",429,12.565,0.087,18.382,0.068,6.921,0.182,16.58,0.06,NA,23037524.13
"430",430,10.106,0.086,15.749,0.13,4.49,0.144,15.748,0.062,NA,23037524.13
"431",431,6.761,0.087,12.387,0.104,1.266,0.205,14.713,0.06,NA,23037524.13
"432",432,4.123,0.044,9.396,0.131,-1.143,0.113,13.951,0.059,NA,23037524.13
"433",433,2.862,0.088,8.351,0.107,-2.512,0.108,13.721,0.059,23571556.674,23571556.674
"434",434,4.012,0.118,9.769,0.095,-1.762,0.08,14.207,0.064,NA,23571556.674
"435",435,5.524,0.085,11.411,0.157,-0.285,0.145,14.658,0.059,NA,23571556.674
"436",436,8.679,0.073,14.471,0.099,2.717,0.13,15.541,0.057,NA,23571556.674
"437",437,11.588,0.106,17.437,0.102,5.792,0.123,16.272,0.063,NA,23571556.674
"438",438,13.681,0.091,19.405,0.143,7.854,0.106,16.847,0.058,NA,23571556.674
"439",439,14.827,0.097,20.65,0.087,9.123,0.129,17.22,0.061,NA,23571556.674
"440",440,14.603,0.073,20.416,0.13,8.918,0.126,17.21,0.059,NA,23571556.674
"441",441,12.294,0.053,17.974,0.116,6.711,0.17,16.444,0.056,NA,23571556.674
"442",442,9.525,0.097,15.191,0.155,3.929,0.089,15.516,0.061,NA,23571556.674
"443",443,6.547,0.078,11.952,0.112,1.178,0.083,14.607,0.059,NA,23571556.674
"444",444,4.325,0.058,9.82,0.112,-1.089,0.06,14.053,0.058,NA,23571556.674
"445",445,3.165,0.083,8.588,0.099,-2.134,0.078,13.818,0.058,23975007.348,23975007.348
"446",446,3.766,0.093,9.456,0.067,-1.885,0.086,14.178,0.059,NA,23975007.348
"447",447,6.012,0.139,11.808,0.188,0.19,0.095,14.873,0.068,NA,23975007.348
"448",448,8.891,0.054,14.817,0.114,2.967,0.115,15.634,0.055,NA,23975007.348
"449",449,11.593,0.072,17.378,0.109,5.802,0.149,16.388,0.056,NA,23975007.348
"450",450,14.131,0.066,19.913,0.096,8.334,0.135,17.158,0.056,NA,23975007.348
"451",451,14.565,0.132,20.26,0.094,8.825,0.089,17.307,0.065,NA,23975007.348
"452",452,14.256,0.091,20.13,0.104,8.579,0.122,17.266,0.059,NA,23975007.348
"453",453,12.685,0.105,18.555,0.313,6.973,0.162,16.766,0.061,NA,23975007.348
"454",454,10.109,0.07,15.682,0.108,4.665,0.145,15.935,0.056,NA,23975007.348
"455",455,6.841,0.096,12.195,0.092,1.503,0.086,14.952,0.06,NA,23975007.348
"456",456,4.417,0.062,9.634,0.064,-0.737,0.076,14.291,0.057,NA,23975007.348
"457",457,3.352,0.076,8.555,0.093,-1.776,0.086,14.063,0.063,24114192,24114192
"458",458,4.826,0.106,10.475,0.11,-0.768,0.077,14.611,0.066,NA,24114192
"459",459,6.023,0.082,11.888,0.073,0.301,0.102,14.958,0.065,NA,24114192
"460",460,9.358,0.05,15.255,0.088,3.439,0.194,15.884,0.062,NA,24114192
"461",461,12.291,0.083,18.182,0.164,6.372,0.105,16.671,0.062,NA,24114192
"462",462,14.521,0.114,20.404,0.13,8.778,0.072,17.289,0.066,NA,24114192
"463",463,15.34,0.074,20.972,0.062,9.715,0.17,17.609,0.062,NA,24114192
"464",464,14.874,0.074,20.505,0.128,9.344,0.217,17.491,0.062,NA,24114192
"465",465,12.673,0.047,18.336,0.123,7.152,0.177,16.657,0.061,NA,24114192
"466",466,9.941,0.055,15.506,0.117,4.45,0.116,15.768,0.064,NA,24114192
"467",467,6.404,0.081,11.872,0.09,1.039,0.082,14.697,0.062,NA,24114192
"468",468,4.669,0.045,10.083,0.079,-0.656,0.101,14.214,0.061,NA,24114192
"469",469,3.544,0.07,8.877,0.065,-1.732,0.11,13.933,0.063,24059187,24059187
"470",470,4.694,0.089,10.4,0.063,-0.957,0.099,14.367,0.065,NA,24059187
"471",471,5.53,0.102,11.4,0.106,-0.274,0.086,14.676,0.069,NA,24059187
"472",472,8.838,0.064,14.807,0.085,2.931,0.175,15.572,0.064,NA,24059187
"473",473,11.706,0.045,17.613,0.116,5.824,0.155,16.298,0.061,NA,24059187
"474",474,14.031,0.072,19.831,0.121,8.205,0.131,16.957,0.062,NA,24059187
"475",475,14.853,0.101,20.578,0.087,9.24,0.12,17.218,0.064,NA,24059187
"476",476,14.348,0.089,20.158,0.076,8.696,0.125,17.1,0.063,NA,24059187
"477",477,12.723,0.056,18.472,0.165,7.109,0.134,16.605,0.059,NA,24059187
"478",478,9.997,0.095,15.583,0.107,4.491,0.064,15.675,0.063,NA,24059187
"479",479,6.592,0.083,12.121,0.08,1.107,0.085,14.673,0.063,NA,24059187
"480",480,4.565,0.085,9.953,0.09,-0.692,0.078,14.13,0.064,NA,24059187
"481",481,2.95,0.091,8.349,0.103,-2.322,0.072,13.773,0.064,24689911,24689911
"482",482,4.184,0.093,9.863,0.096,-1.371,0.092,14.266,0.065,NA,24689911
"483",483,6.219,0.12,12.205,0.133,0.376,0.082,14.846,0.069,NA,24689911
"484",484,9.552,0.075,15.534,0.156,3.68,0.153,15.762,0.062,NA,24689911
"485",485,11.874,0.064,17.721,0.127,5.997,0.2,16.395,0.061,NA,24689911
"486",486,14.06,0.1,19.847,0.206,8.243,0.161,17,0.067,NA,24689911
"487",487,14.848,0.12,20.665,0.107,9.098,0.098,17.242,0.066,NA,24689911
"488",488,14.519,0.086,20.308,0.095,8.796,0.152,17.243,0.063,NA,24689911
"489",489,12.547,0.058,18.373,0.115,6.822,0.142,16.613,0.061,NA,24689911
"490",490,9.486,0.047,15.069,0.134,4,0.097,15.588,0.06,NA,24689911
"491",491,6.312,0.084,11.67,0.092,0.996,0.064,14.632,0.062,NA,24689911
"492",492,3.863,0.064,9.182,0.108,-1.333,0.072,13.968,0.062,NA,24689911
"493",493,3.336,0.077,8.827,0.088,-2.078,0.06,13.936,0.063,25276631,25276631
"494",494,3.72,0.109,9.486,0.059,-1.997,0.091,14.179,0.067,NA,25276631
"495",495,6.208,0.058,12.131,0.094,0.411,0.117,14.982,0.062,NA,25276631
"496",496,9.245,0.098,15.174,0.118,3.234,0.155,15.808,0.066,NA,25276631
"497",497,12.271,0.105,18.185,0.13,6.35,0.107,16.569,0.066,NA,25276631
"498",498,14.11,0.085,19.962,0.133,8.218,0.134,17.151,0.063,NA,25276631
"499",499,15.161,0.101,20.923,0.104,9.428,0.149,17.45,0.065,NA,25276631
"500",500,14.427,0.115,20.332,0.103,8.664,0.178,17.294,0.068,NA,25276631
"501",501,12.736,0.087,18.581,0.114,7.07,0.17,16.758,0.065,NA,25276631
"502",502,9.935,0.073,15.578,0.101,4.353,0.109,15.831,0.064,NA,25276631
"503",503,7.319,0.086,12.89,0.093,1.92,0.082,15.011,0.064,NA,25276631
"504",504,4.507,0.055,9.841,0.108,-0.685,0.089,14.241,0.062,NA,25276631
"505",505,4.026,0.065,9.459,0.123,-1.322,0.089,14.258,0.062,25646998,25646998
"506",506,4.704,0.078,10.435,0.104,-0.948,0.058,14.505,0.065,NA,25646998
"507",507,6.772,0.034,12.775,0.083,0.894,0.113,15.198,0.064,NA,25646998
"508",508,9.229,0.049,15.146,0.099,3.308,0.152,15.818,0.062,NA,25646998
"509",509,12.248,0.081,18.157,0.17,6.199,0.197,16.605,0.062,NA,25646998
"510",510,14.084,0.052,19.912,0.143,8.184,0.151,17.11,0.06,NA,25646998
"511",511,15.354,0.077,21.199,0.075,9.409,0.096,17.487,0.062,NA,25646998
"512",512,14.56,0.067,20.444,0.136,8.807,0.136,17.328,0.061,NA,25646998
"513",513,12.95,0.103,18.785,0.129,7.16,0.083,16.799,0.065,NA,25646998
"514",514,9.988,0.079,15.599,0.166,4.484,0.15,15.859,0.062,NA,25646998
"515",515,6.892,0.12,12.48,0.142,1.389,0.136,14.856,0.067,NA,25646998
"516",516,4.038,0.064,9.357,0.119,-1.189,0.045,14.127,0.063,NA,25646998
"517",517,3.981,0.07,9.558,0.119,-1.481,0.091,14.207,0.064,27047792,27047792
"518",518,4.085,0.097,9.749,0.088,-1.48,0.111,14.359,0.065,NA,27047792
"519",519,6.048,0.055,11.972,0.077,0.215,0.127,14.973,0.062,NA,27047792
"520",520,9.154,0.074,15.033,0.105,3.209,0.122,15.774,0.063,NA,27047792
"521",521,12.153,0.095,18.118,0.136,6.208,0.162,16.567,0.063,NA,27047792
"522",522,14.017,0.135,19.77,0.12,8.222,0.146,17.104,0.068,NA,27047792
"523",523,14.983,0.184,20.757,0.117,9.223,0.154,17.423,0.078,NA,27047792
"524",524,14.691,0.089,20.48,0.084,8.974,0.119,17.402,0.063,NA,27047792
"525",525,12.911,0.067,18.692,0.181,7.221,0.18,16.839,0.06,NA,27047792
"526",526,10.424,0.085,16.115,0.116,4.74,0.094,15.997,0.063,NA,27047792
"527",527,6.727,0.075,12.203,0.134,1.347,0.117,14.838,0.061,NA,27047792
"528",528,5.133,0.062,10.545,0.088,-0.179,0.091,14.436,0.062,NA,27047792
"529",529,3.525,0.062,8.901,0.109,-1.65,0.097,14.097,0.059,28393581,28393581
